"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"1",0.20677,0.234434,0.312451,0.312344,0.310939,0.31296,0.448557,0.580148,0.170809,0.189454,0.187732,0.216442,0.19204,0.261069,0.282758,0.459441,0.131123,0.156474,0.147964,0.198256,0.189239,0.294588,0.220933,0.385235,0.163667,0.193193,0.190998,0.242681,0.198356,0.250677,0.315314,0.580919,0.2511,0.258285,0.257506,0.257505,0.272376,0.278267,0.326215,0.391754
"2",0.221465,0.22087,0.557176,0.529178,0.438518,0.416812,0.493447,0.598027,0.151555,0.154998,0.190527,0.228524,0.199703,0.254767,0.205195,0.297167,0.129536,0.144399,0.156183,0.203498,0.177902,0.240737,0.238319,0.473238,0.185295,0.200859,0.169612,0.194124,0.192354,0.243631,0.318319,0.507261,0.252137,0.313018,0.290262,0.28583,0.303172,0.303976,0.284898,0.352702
"3",0.273326,0.264487,0.426611,0.438794,0.23873,0.244821,0.495999,0.626402,0.162563,0.182863,0.198867,0.222712,0.202432,0.258119,0.244764,0.385618,0.125401,0.136737,0.144318,0.175539,0.165141,0.23359,0.266014,0.529353,0.161492,0.184018,0.16211,0.178559,0.217613,0.267399,0.442325,0.820107,0.306378,0.310486,0.307167,0.27495,0.382829,0.366973,0.359973,0.434107
"4",0.234631,0.34543,0.284381,0.281813,0.326227,0.333707,0.471727,0.547426,0.144314,0.158669,0.185466,0.246894,0.203277,0.247068,0.263421,0.381171,0.127044,0.145337,0.136159,0.165975,0.160066,0.21616,0.219271,0.38815,0.175901,0.180683,0.212572,0.255614,0.199373,0.256119,0.237388,0.391295,0.263557,0.255083,0.267157,0.252975,0.351345,0.357954,0.36856,0.405289
"5",0.273221,0.274032,0.332296,0.335051,0.265101,0.264098,0.746381,0.798082,0.151159,0.169815,0.198265,0.238586,0.219699,0.272635,0.264114,0.402001,0.128248,0.148853,0.148426,0.191262,0.173012,0.243287,0.220353,0.371963,0.146487,0.170102,0.152218,0.173201,0.217338,0.287717,0.276864,0.486758,0.2128,0.221931,0.337095,0.329676,0.251987,0.25879,0.43679,0.549772
"6",0.285505,0.280378,0.258645,0.238401,0.564155,0.590025,0.52902,0.601378,0.152316,0.171963,0.197314,0.247934,0.217849,0.285379,0.24841,0.393947,0.132036,0.157551,0.154001,0.208255,0.157168,0.211368,0.246119,0.502651,0.154628,0.165015,0.179994,0.227578,0.189599,0.244733,0.254104,0.462941,0.260179,0.286201,0.264543,0.238441,0.307074,0.311875,0.304954,0.395918
"7",0.258419,0.270932,0.496376,0.44523,0.254624,0.26084,0.636522,0.679067,0.155828,0.160174,0.218035,0.2572,0.224147,0.288942,0.336255,0.601833,0.129914,0.148598,0.150394,0.198466,0.167376,0.251021,0.223575,0.429684,0.167438,0.181342,0.189552,0.220508,0.195211,0.258625,0.206017,0.288935,0.312334,0.251311,0.352178,0.302582,0.280007,0.295867,0.398682,0.529695
"8",0.20977,0.238329,0.309192,0.255999,0.403454,0.4251,0.938837,1.10899,0.150336,0.164916,0.178306,0.2069,0.23869,0.314561,0.24871,0.363379,0.135825,0.162963,0.141935,0.179592,0.181749,0.268796,0.220654,0.37334,0.191155,0.218043,0.20486,0.231207,0.223709,0.263324,0.245964,0.376992,0.283491,0.2979,0.261388,0.26197,0.375893,0.378457,0.536472,0.636658
"9",0.298462,0.342801,0.284758,0.25018,0.351956,0.387716,0.472707,0.562505,0.151809,0.162422,0.166119,0.203806,0.209995,0.281224,0.25593,0.404375,0.128611,0.14525,0.166336,0.222883,0.174129,0.233713,0.220273,0.392541,0.157055,0.173362,0.189383,0.233157,0.185766,0.238301,0.240868,0.342524,0.337274,0.374184,0.233844,0.207771,0.323099,0.302896,0.560873,0.622685
"10",0.279533,0.271381,0.327122,0.31505,0.281746,0.288506,0.545769,0.688825,0.159635,0.172863,0.172965,0.199538,0.23348,0.301906,0.315544,0.508118,0.132693,0.146579,0.150555,0.188149,0.177436,0.259639,0.328755,0.93798,0.154918,0.176774,0.195177,0.232667,0.186187,0.221478,0.271762,0.386238,0.238032,0.247935,0.296617,0.298803,0.306437,0.301801,0.634788,0.75321
